comment_sen,score
发货速度很快，物流速度也很快，第一天下单第二天就到了，老婆想买这款游戏已经很久了，年前狠狠心终于买下来了，游戏机很灵敏，运行速度很快，稳定性也很好，画面效果比较清晰，外形外观很时尚，产品包装看起来很高档,2
真**够了，买个国行只能玩一个游戏！！花两千多只能玩个超级马里奥。当交智商税了！,0
就三个游戏买了非常后悔,0
千万不要买国行版！腾讯出品的，数字版游戏只能玩国行版的，官方的游戏只有一个，而且要300多，淘宝上面的只要五六十，但是国行的不能玩。腾讯就是个大坑！,0
"运行速度：运行速度快
流畅度：非常流畅
稳定性：稳定性好
画面效果：720还是电视清晰度不错
外形外观：很时尚
产品包装：游戏盒完整，就是送来京东的袋子是破的",2
"流畅度：很好，游戏优化的开机，运行都很快。
运行速度：很好，很快。
稳定性：刚买，还没有出现死机卡顿情况。
画面效果：720p的，掌机上显示一般，但是放到电视上不错啊，跳舞，玩游戏都很清楚。
外形外观：没有什么好说的，标准掌机。
产品包装：完好，有一个腾讯的防伪贴，揭了能看出来。
玩了一会游戏，感觉自己年龄大了，不适合掌机游戏了。但是体感游戏非常棒，跳舞，拳击真的很累。主要用来锻炼身体。还可以配孩子玩玩游戏。挺好的。",2
有赠品的要好久才能拿到，无奈只能买没有的，多次投诉也没用。垃圾,1
后悔了，买了个马u定制机，商店到现在啥都没，游戏说数周出来到现在也没出，当我听到港版能***了，我真后悔了，请问港版是国度还是国行机是国服，我烈士了,0
什么都好，没有抢到赠品不开心,1
"各地都在管控。不能出门，在家呆得都发霉了。就抱着试试的心态买了。在PS XBOX SWITCH中纠结。结合自身情况，选的SWITCH。结果没让我失望，而且是意料中的要好，哈哈哈。
流畅度：很流畅，加载游戏很快
稳定性：很稳定，玩了2个星期未出现过死机
画面效果：很好。屏幕颜色画质在预料之上",2
"等待是漫长的，但还是在超出意料之外的时间拿到手了。孩子一直想要这款游戏机，之前没入手的原因是没有国航的，怕使用起来不方便。现在好了终于来了可以在圣诞前夕拿到了，作为对本学期的奖励，也作为圣诞节礼物送给他，我相信他一定会喜出望外的。
运行速度：开关机很流畅
外形外观：很棒，手感不错
产品包装：包装不错很精细",2
发来的货没有封贴，退货时候说开封了不给退，要不要脸，就用这种方法让人强制收货？大家擦亮眼睛，网上开箱视频是有腾讯的封贴的，京东的就没有是什么个意思？最好当快递小哥面收货，没贴直接退。而且这货就不是京东的包装，不知道哪里来的，包装还破损。,0
"流畅度：画面非常不错 买了一张暗黑三 色彩鲜艳 运行流畅
产品包装：包装完好 外壳没有任何磕碰",2
送朋友的,1
"产品包装：纸盒包装，充气袋缓冲，八角尖尖，很好。
外形外观：红蓝手柄，经典款式，大爱！
种草已久，知道国行版开始发售，就一直关注，终于拔草成功，机器性能画面不用多讲，下一步再把健身环、lab*五合一和机器人、塞尔达、高达一并入了，耍个够！哈哈哈哈哈！",2
产品包装：收到的时候竟然没有封条，以为被拆过了，看了看包装竟然在快递袋子上，开机看了看目前没发现拆过的痕迹，其他都还好，速度也很快。这快递包装不多说了，后续发现问题再看吧。,1
很好玩，对于轻度玩家，用国行的switch还是很合适的，还能享受保修的服务，连上电视效果非常棒，运行也非常流畅，速度也比较快，是非常值得推荐的，配套买的手柄也非常好用，连起来也很简单，京东快递更是没话说。,2
没有留意是国行，卖家不肯退,0
就一个游戏，过了一个月还是一个游戏，存档无法和外服绑定,0
给男盆友买的，他很高兴，我也很开心?，包装得很好，我原本想买日版给他，但他想要国版，摊手，后面才知道国版不能玩DLC，数字款游戏目前也只有一个采蘑菇的游戏。好在插卡带的话，ok的，摊手，不是深度玩家的话，够用了?&zwj;♂?,2
游戏机收到了 非常的好 、 很喜欢 . 质量没的说 、 很快就送到了 京东物流值得信赖,2
"国行烈士，个人觉得如果不是重度玩家，买国行是完全可
以的，dc无所谓，商城里面没游戏，数字版非独占游戏可以在pc上玩，第三方独占游戏玩不到，但这部分游戏也很少了，联网问题，看个人需求吧，我单机玩家不需要联网。最后，塞尔达真香！
外形外观：很好
产品包装：很好
画面效果：很好",2
"什么都好，就是现在游戏太少了吧。是个不成熟的机器。
太不成熟，还没做好进市场的准备",1
画面特别精致，很好玩，关键是玩游戏方便，希望国行快点推出新游戏，推出一些联网游戏就更好了！,2
因为疫情日版swich断货+持续高价，所以入手了国行版，其他都好，就是不能添加国行版以外的好友，结果硬是把动森完成了单机版，如果再买一定要买国际版,1
"买的 保护壳 贴膜的套装，保护壳还行，贴膜有点次 就是普通塑料膜，不建议买套装 单买主机就行了。
产品包装：包装很好，带腾讯封条，正经一手货。
流畅度：接电视玩的，很流畅，合家欢游戏机。
外形外观：双色很亮眼
装了512GB的储存卡，完全没必要，国行商店里就一款游戏&hellip;
我是买来运动的。推荐，健身环大冒险 和 多人可玩的 just dance！
Zumba 不推荐购买，没有just dance好玩！",2
满怀信心有钱可以买一个游戏机，买了只有一个游戏，客服说过个几个星期就会有新游戏上架，这都三月了，新游戏一点消息都没有，我都怀疑官方已经捞钱@了，毫不作为，我对国行已经彻底失望了，买的时候就该问问身边的人，客服回复永远只有几句话复制黏贴，请你们做个人好不？买主机的人这么多不该给个交代的嘛？我现在跟我朋友聊起这件事他们都笑我，不说了，等什么时候官方能使买家满意再回来说吧,0
两个月了，就一个游戏，一直吃灰,0
垃圾 好几个月就一个游戏,0
第一次给差评！！！真的超垃圾！！！锁区是区锁区！！商店里就一个马里奥！！我真的后悔为什么买了国行！！最主要刚买就降价了客服还各种踢皮球！！,0
物美价廉，速度快，国行还是挺香的,2
跟客服问个问题，啥都不知道，问为什么写的白条分期免息，让去问平台！！！没电了，看都是typec的口，问能不能用华为手机充电器充电，给一个不建议用别的充电器的废话！！！哪家都不建议用别人的充电器，但能不能用？为什么不能用，电压不符还是电流不符，没一个实质性的回答，只会说一句不建议的废话！！！大公司的客服就这么不专业，只会说废话官话不会解决问题。本来京东就买个物流快，结果还寄了三天多才到。决不在京东买后续的配件了！！！,0
"流畅度：很流畅的体验
运行速度：很快，就是联网的比较慢
稳定性：很稳定
画面效果：还不错
外形外观：非常漂亮
产品包装：精美",2
"产品包装：很差，套了个塑料袋就来了。
外形外观：更差！左边手柄非常松动！联系客服告诉我正常情况，根本没售后。
质量不好，售后不行，还锁区。谁还敢再支持国行？",0
"很不错，非常喜欢，玩了马里奥和赛车，还是很有趣的
流畅度：好
运行速度：好
稳定性：好
外形外观：漂亮
画面效果：漂亮
产品包装：好",2
国行版，不能玩动物森友会，才有三款游戏，还是我不喜欢玩的，感觉亏大了，由于拆封后才知道是国行的，还不能退货,1
不要买，太@了，拆来看看就不给退货，千万不要买国行的，下不了游戏,0
"流畅度：非常流畅，顺滑，画质优秀。
运行速度：快速，稳定，性能优秀
稳定性：稳定性好，速度快
画面效果：优秀，画质清晰。联接大屏畅快。
外形外观：做工优秀，工业设计能力强大。配色可爱，值得拥有。
产品包装：简单明了。",2
完美购物 孩子很喜欢 买的马里奥卡带 回味无穷 是家庭娱乐休闲的好选择 可玩掌机 可连电视 爽了得,2
国行勇士，能玩卡带，但是卡带也比较少，估计很多游戏还是没有卡带的,1
"京东绝对是值得信赖得，
流畅度：5
运行速度：5
稳定性：5
画面效果：5
外形外观：5
产品包装：5",2
装机子的盒子右下角变型的了，包装盒有灰尘，拿一个双汇香肠盒装着发过来的。打包的差评,0
垃圾垃圾垃圾 ESHOP就一个游戏,0
再也不想买了,0
预售付的定金，并没有说明支付尾款不能使用京东礼品卡。联系客服也完全结束不明白，真是无语。,0
从头到尾就这么一个游戏，也好意思拿出来卖，为了坑钱无下限。,0
很流畅，做工好，特别将手柄拆分为两个可双人同时游戏很赞。我是游戏小白，看着买欧版港版各种攻略，好像支付也很麻烦，心说我也不会玩什么大游戏，只是闲暇时间解个闷，就不去费那个心了。只希望快点多出游戏，通过腾讯正版渠道购买，省得上什么港服欧服，老年人懒得去研究了。国行挺好的,2
"流畅度：很流畅
运行速度：速度很快，游戏下载也快
画面效果：在电视上玩没问题
产品包装：包装完好，次日就送达了，非常快",2
只有一款游戏，强买强卖，拆包装不让退,0
种草很久了，其实游戏玩的不多国行是可以的，非常方便，腾讯强大，非常漂亮。,2
只能说，国行烈士买了块板砖,1
"非常后悔，一个多月了，来来回回就一个游戏，腾讯真的很厉害很会骗钱，港行现在都能***了，自己是真的贱，竟然想要相信国行能有起色，我也没玩过，就拆开来看了看，你官方还不让退，要不要我吃点亏2000你们在收回去^_^就不给差评了毕竟自己也有原因
产品包装：收到的时候就破损了就一个袋子装着",1
"?4.20拿到手，用到左摇杆的只有160小时的动森，很长时间还是挂机拿气球，结果前天左摇杆就不灵了，也不知道我动森怎么玩的，大概是砸着摇杆玩的呢，我也是被电子售后搞怕了的人，希望能顺利解决再改好评，拿到手一个半月就坏个摇杆用掉了保修我也是佛了??
流畅度：偶尔掉帧",0
"流畅度：快
运行速度：快
稳定性：稳
画面效果：清晰
外形外观：美观
产品包装：运输过程有点破损
凌晨抢购，下午到了。速度相当快。正在兴奋当中。使用一段时间再来。不做虚伪评价",2
很喜欢，买回来和家人朋友一起开心。,2
"流畅度：酣畅淋漓
运行速度：可能是本地优化的原因，真的优于其他版本。
稳定性：稳定的一批
画面效果：可以玩各种版本的塞尔达，画面真香，天下第一塞尔达
外形外观：心心念念，红蓝出正义
产品包装：京东的包装真是值得吐槽一下，就是快递袋直接装了，我的八角尖尖破灭了啊喂!!!!(?Д?)ノ
录了开箱视频，真开心，盒子被压了一个角角真伤心，但是有一说一京东物流速度是真的棒，让我这种偏远地区的孩子能够尽早的快快乐乐的玩到。
另外，广大的国行勇士们希望能够树立起信心来，生态环境一定会变好，而且目前我实测的读取其他版本的卡带一点问题都没有，可以放心大胆的买。",2
唯一的缺陷就是盒子坏了,1
"包装一看就是拆过的。送老公的圣诞礼物，没时间换了。
国行商店里什么都没有。",1
支持国行就是错了，新机器到手就网络有问题，国行机器还连不上网,0
"稳定性：网路链接不是很稳定，经常性出现错误，如图所示，需要来回切换网络才行，很影响使用心情
外形外观：挺漂亮也很经典，大气也是有的，百分百新机，因为味道很重?
产品包装：完整，防伪贴做的是真好，完美杜绝退换的可能?，机子网络稳定不好影响体验也不可。
流畅度：很流畅，除了网络不稳定外
运行速度：棒，但是没发现可以关机，只能休眠
画面效果：棒棒哒，游戏商城游戏是真少，都腻了",1
非常好，买来主要是为了和家人一起玩的。可以和家人一起娱乐，也能锻炼小朋友手眼协调能力。24期免息分期买的，十分划算。目前国行够用了，可以插外服卡带，也希望国行游戏能快点过审，期待国行马里奥派对和健身环大冒险。,2
国行配件给的很多，很满意,2
手机里已经有一台日版了，疫情期间2500买的，最近国行活动力度很大，买一台回来放客厅用tv不拔了，玩玩健身环啥的不错，京东自营保修也不用愁，另外据说tx芯片也要出货了，马上就是个香馍馍，一台日版联网，一台国行xx搭配，哈哈,2
建议不要买国行，啥游戏都没有，不能联网游戏，需求变了不给换也不给退的。除了快递邮的快没有优点。,0
"画面效果：棒棒哒，但是游戏比较少都不是我喜欢的种类
流畅度：不错
产品包装：很好
外形外观：666
运行速度：很不错",2
别买别买别买别买千万别上当了****锁服 只有一个游戏也敢拿出来卖 快三个月了游戏不上新 欺骗消费者 我已经315举报了  后面的消费者千万别再上当受骗了 去买港版日版吧  我以后再也不会买国行的游戏机了 真是曹**的 给老子退货,0
买了9天我的手柄出现了四个问题，右手柄连接不上陀螺仪，左摇杆有弹簧声，r链有弹簧声，玩的时候插在主机上的左手柄突然断开,0
我买的这台，蓝色手柄晃动的厉害，红色手柄就很紧,1
品控太差了，各种划痕脏污，要不是密封条完好，真以为是二手货。,1
"外形外观：Switch很好看，很方便，随时切换多种模式。
产品包装：包装1年保修很放心，不怕手柄漂移了。
画面效果：画面不错，虽然比ps4差了不少，但老任的第一方游戏品质绝对保证。
Switch绝对适合跟小孩玩合家欢的游戏，大人玩回来，找到儿时的快乐，就国行的游戏太少，只有一个。都要买卡带玩，还买了健身环大冒险，完美运行，宅家抵抗疫情，最佳选择，再慢慢等国行出其它游戏。",2
个人觉得非常的坑，国行只有一个游戏，只能玩卡，我不喜欢集卡，想要的8折转,0
强烈建议不要购买，描述里面不说只有三款游戏提供，买个游戏机回家最后没游戏玩，客服还不解决，态度很差，还给找很多理由不退，连加钱换都不行，游戏只提供三款且不在产品里说清楚，忽悠消费者，还是京东自营，纯粹的欺诈消费者，难怪那么多年都竞争不了~，这几年网购十多万，京东很少来，确实非常失望，我已被骗，希望能看到的人不要被骗！,0
谁说网络稳定，速度快的，一晚上下个马车才下18％，更新主机一个多小时，真是呵呵,1
稳定性：一个星期，左手柄已经出现漂移,0
东西很好，手感很不错，游戏流畅并且运行速度很快，多钟游戏模式方便使用，随时可以娱乐，手动点赞！,2
"流畅度：行云流水的流畅玩起来简直不要太爽丝毫没有压力感
运行速度：运行速度很快都是水到渠成的速度使用体验一级棒
稳定性：稳如泰山根本没有闪退卡顿闪屏闪退花屏等现象出现
画面效果：屏幕高清色彩鲜艳还原度很高刷新率较高分毫毕现
外形外观：适合的屏幕大小适合的手持握感玩起游戏来非常爽
产品包装：包装环保设计鲜明夺目收纳性包裹性防摔性非常棒",2
产品页面写着不仅仅兼容国行游戏 但运行日版游戏时有时会促发上下黑边的bug 咨询过客服这个问题现在无法解决 买前三思,0
其他的不想说了，买来就一个游戏，91％好评怎么出来的？就是这么@的？mdzz,0
完美的购物，过年当天拿到主机，爱不释手，完美运行，期待游戏快速更新。,2
看了很久，终于还是入手了国行，价格是一方面的优势，保修也是一方面，双十二套餐也很给力物流速度也是很快！,2
国行任天堂switch增强版游戏机质量很好，让我重温一下从前的经典游戏，有一种亲切感，购买国行版是看重国行版的服务和保修，海外版也有，互相补充，相得益彰，京东快递迅速，很满意。,2
配送速度很快 质感佳 支持国行 希望尽快开放其他游戏,2
本次购物体验极差，退货后审核了20多天才返款，如果不是只能选1分，我要求给0分。2020年1月7日上午10定货，下午送到家，晚上8点回家后开机发现主机无法正常开机，黄屏死机，联系客服后建议退货或换货，考虑到换货售后审核时间长，建设退货。1月7日20时快递小哥过来取货，第二天到达售后客服退货审核，直到1月29日才审核完毕，用时近22天，这比承诺的15天多了一个星期。并且，好在我听了售后的建议选择了退货后重新下单，否则要等20多天才能拿到新机，对于售后这个审核速度，实在是无语。1月8日重新下单后，1月9日就送到了，第二次购买的这款游戏机还是很不错的，对于这个游戏机，可以给满分，但对本次购物中售后退款速度，0分。中间我有两次催款，均以官方口气未予理睬，在此一并批评，请以后予以改进！！！,0
"流畅度：爽歪歪
外形外观：帅气
产品包装：给力
运行速度：贼快
稳定性：非常完美
画面效果：比3 Ds爽一万倍",2
关注了挺久了，因为没有国行版，迟迟没有入手，真好赶上双十二，一下入手两台，自带游戏虽然是体验版，但简单上手体验下，还是满满童年的味道。官方商城游戏太少，正在关注游戏卡。总而言之，一次不错的购物体验，希望能带来惊喜呦。,2
千万不要买国行，简直就是快砖头，啥游戏都不能玩，还不能联网游戏。要来有何用。。。。可惜不能退款，简直坑中坑。。。。巨坑玩了两天迫不及待想退款。。。。。。我是为了宝可梦剑盾买的游戏机，结果买了卡带只能单机。。。。。以下省略一万句吐槽。。。。。。。。。,0
"首先，非常开心国行switch能上市，从4月看新闻后一直在等待，12月4号得知马上发布后，第一时间预约，第一时间购买，只为80后的一份情怀&hellip;&hellip;&hellip;
    记得小时候放学后，经常去游戏厅3元一小时，4元一小时的打索尼，任天堂的游戏，太多太多的回忆了&hellip;&hellip;现在总于可以自己家里玩了，买来主要是玩亲子游戏，带小朋友互动&hellip;&hellip;国行上的时候只有一个游戏，当时还非常忐忑，后看评测知道国行只是不能联国外服务区，外区所有实体卡都可以玩，还能更新，心头的石头终于落下了&hellip;&hellip;目前只购入了塞尔达（必买大作），后期计划购入马车，奥德赛，马派，还有就是运动会，其实买这个机器主要目的就是带小朋友玩，自己可以找找情怀&hellip;&hellip;&hellip;机器总体都非常不错，买了二年的意外延保，希望国行游戏给力点，一直拥有下去&hellip;&hellip;&hellip;接电视效果非常棒，主机显示也可以接受，主要是特别方便，亲子的时候接电视玩，小朋友做作业的时候，在主机上玩，真的是一部非常棒的机器&hellip;&hellip;",2
游戏呢？说话的数周！都2月底快了，连个像样的消息都没有，官方~~都是死的吗？还是你们国服官方游戏管理的都@了，还是都得冠状病毒都gg了？,0
"流畅度：运行和游戏很流畅
运行速度：游戏运行速度也很快
画面效果：画面非常好，连接电视画面也很清晰
外形外观：外观很漂亮",2
买了个砖头 宝可梦剑盾不能联机游戏商店也没有游戏，只能买游戏卡带,0
今早收到后就迫不及待的打开包装试玩了一下，不得不承认，无论是外观的设计，还是游戏的设置，都非常的人性化，大多数游戏都适合全家人游戏！,2
"商店里面怎么只有超级马里奥，别的游戏都搜不到呢？想问问大家怎么搞
流畅度：流畅
运行速度：快
稳定性：稳定
画面效果：优良
外形外观：美观
产品包装：完好",2
"买国行以前，人家说我是憨憨
买到以后发现，我真是个憨憨",0
其实一颗星都不想给,0
不知道 送人的 反正物流太差 错过了送东西的时效 况且快递也好玩 第一天送了说掉了一个包裹 找到一起送 然后到货就是两天后了 感觉白花了这个钱 因为其中情况简直无语 后悔及了 写得我都想笑 因为心情收到极差的影响 算了 就当买教训,1
激动的心，颤抖的手，NS的手感很棒，这么小的手柄还有震动反馈，真是想不到，几年前买过一台 xbox破解版的游戏机，虽说有很多游戏，可是破解版的画质实在太差了，基本闲置，玩了半年就卖掉了，而且体积巨大，很占空间，NS体验了赛车，画质很棒，还在熟悉游戏中。看了一晚上游戏卡带，太烧钱都。?狠心买了塞尔达和无双大蛇，等体验完了，再追评。,2
体验太棒啦，买来做生日礼物，游戏真的非常好玩，还有一年保修，值得拥有！,2
"流畅度：非常流畅
运行速度：没有卡顿，没有掉帧，运行正常
稳定性：掌机模式和电视模式非常稳定。
画面效果：惊艳
外形外观：外观朴实大方
产品包装：漂亮大气
早就想入手日港，刚看到国行上市，果断入手国行。家人玩的很开心，健身娱乐两不误，其乐融融，任天堂还是用心在做游戏机和游戏。",2
"垃圾中垃圾，坑人的只有一种游戏 两千块用来玩一年，又不说清楚，不拆开怎能知道好不好，拆
 了又不能退了，又卡，垃圾中的垃圾",0
网络差，下载速度有了，但是玩不了马车。咨询了一下客服，建议重置路由器，试了之后可以，但现在又不行了。总不能每次玩游戏都得重置路由器吧！？,1
非常好，待在家里的日子就靠它打发时间了，大人孩子都爱玩。画面清晰，质感很好。还好我下手早^_^^_^^_^,2
"画面效果：够清晰，1080p，看着感觉很爽！
稳定性：很稳定，没有问题
运行速度：流畅，一点都不卡顿",2
用了这么久没问题很好，但遗憾的是这么久了还只有一个游戏，买其它版本的实体卡吧可又不能升级资料。东西是好东西当然是老任的功劳了。很好很火的游戏机，有好多家庭共同娱乐的游戏还有个人不同喜好的游戏都很好玩很经典。当然也不能怪企鹅，体制的特色嘛,2
**，什么游戏都要钱，后悔死了,0
"流畅度：流畅度好，只有一个游戏
运行速度：快，游戏**都赶不上热乎的
稳定性：游戏机和手柄质量还是那么回事，跟你们说个笑话switch神作星之卡比马上登录了
画面效果：一般，720p
外形外观：还是那样
产品包装：包装完好         发售噱头之一的国内联机服务器你现在用都别想用，dlc什么的不知道要不要审，就按这个审核速度，我以后一定除了手机买国行，其他游戏电子产品都买外服，第一次当国行勇士，也是最后一次",0
价格便宜，但是只有5个游戏。。。。。只能用实体卡,1
真心不知道该如何说了   2000多就三个游戏  啥也不能玩  还送个卡  有啥用？,0
"流畅度：电视玩真震撼，以前都是玩PSV，现在这个电视上丝滑
运行速度：很流畅，可能是因为玩的小游戏，没玩大游戏",2
套餐里的膜是坏的 也不能重发 服了,0
"流畅度：非常不错
运行速度：没有任何卡顿
画面效果：马里奥画面实在太棒了
外形外观：很酷
产品包装：很好  盒子完美
疫情期间入手一台国行版，作为国人必须支持  这台用于家庭亲子游玩比较合适，简体中文而且疫情期间一年半的保修，入手套装配件很划算！ 我已有一台港版及一台lite    这玩意好东西！",2
国行主机就是好非常流畅，游戏画面也很精致。希望国行游戏能*快游戏进度。,2
这个游戏机做工不错，细节把控的好，开机速度非常快，按键很舒服，玩游戏很带感觉，物美价廉，强烈推荐购买！,2
当了国行烈士了！应该多了解下再买，真没有游戏玩啊！就一个马里奥体验版！醉醉了，只能买卡带，没法玩DLC，一星是给任天堂的！**代理*带吧！没有游戏就是买个砖头回来！,0
除了有保修和更新游戏快以外，其余的根本没法和其他版本的机器比，而且光套包装袋就给我送过来了，还破了几个洞,1
"流畅度：还可以
产品包装：已经破损
感觉像是退换过的机器，里面包装比较随意，有点脏，保修卡什么的随便放，懒得换了，有问题再说吧",0
快一个月了还只有一款马里奥，买你何用？全靠非国行游戏卡？辣鸡玩意,1
"买完没货，等了几天才发货，没有像别人说的只套个袋子，箱子配送的，还不错！
现在就是没游戏，只能买海外的卡带，希望国行游戏能尽快上市！",1
买了2个多月了，还是只有一个游戏，，，体验极其差,1
游戏机是不错的，国行就国行吧，就是发漏了我游戏卡和内存卡，一个好好的周末计划泡了汤，虽然补发了游戏卡和内存卡，感觉不到商家和客服的诚意，这次体验感很差,1
货物收到的很快，感谢客服小姐姐和快递小哥的优质服务，机器三码合一，姨妈红，试玩了游戏非常满意。挑选一波游戏，赛尔达旷野之息，奥德赛，马里奥兄弟U都是准备第一波。感觉自己单机版游戏够用了，家人一起娱乐使用。,2
"流畅度：还可以，跟当年的PSP、DS都有优秀了许多；
运行速度：速度很快，没延迟；
稳定性：非常稳定，连上电视就没有一点延迟，很好；
画面效果：细腻，输入电视好像是1080吧，跟fine；
外形外观：不大对的起ND这个牌子，看起来跟山寨机一样；
产品包装：红红火火，即节省空间又保护精良！
最后说一下，主要是防疫情在家实在是无聊，买个这东西，用它做体感游戏机，拳击和Just Dance，发汗利器啊，赞??",2
手柄有问题,0
"流畅度：非常流程，第一次买，很满意，能和朋友玩
运行速度：非常流程
稳定性：目前非常稳定
画面效果：画面效果比预期要好，而且电视模式很方便
外形外观：独特，辨识度高
产品包装：玩毫无生气，八角尖尖
希望国行越来越好，1999，交个朋友",2
运行速度流畅，稳定性也不错，画面效果非常清晰，外形大小比较合适，便于携带，外观非常漂亮，配色很好鲜艳，产品包装也很不错，过节送礼送人都不错，物流速度相当快，第一天晚上下单第二天就到货，总的来说值得购买！,2
"为了培养和孩子的感情买的。
之前几年因为工作忙，很少陪儿子，现在长大了都五岁了，总觉得跟我不太亲近。好在现在他开始喜欢运动，喜欢各种积木和游戏，于是就投其所好，陪他各种玩，看到这个国行机器出了就买了，孩子一直念想着，收到就开始玩，爱不释手。",2
"流畅度：100分
运行速度：100分
稳定性：100分
画面效果：100分
外形外观：100分
产品包装：100分
相信全球最帅马化腾",2
到货之后封条本身就是开的，盒还是破的，而且开封条没法退货。国行只有一款游戏真的很难受，一开始我还能玩玩卡带忍一忍，后来发现真的很无聊。这个差评也是给腾讯真的不太考虑顾客感受。,0
"流畅度：国行品质不错的保障，流畅度非常不错的
运行速度：京东物流速度很快，好评
产品包装：包装环保全纸盒，支持环保吧。
稳定性：到现在没有发现特别大的问题
画面效果：面效果虽然没有4K，但是1080p的电视显示效果已经很好啦，不错。 
外形外观：外观还是比较好看的。
买了健身环大冒险真香，希望国行能在鹅场的带领下能出多点国行专属游戏，不要让我们变成勇士",2
"外形外观：不想等日版了，反正也不联机打，国行的也不错，主要是便宜，嘻嘻
画面效果：连上电视，效果很好
流畅度：不错，游戏时很流畅",2
特意买的带硬壳的这个套装，很漂亮的铝壳哈哈哈，宝贝收到了，特别好，京东的快递真的很棒，当天下单当天到，就是还没有买游戏没得玩哈哈哈哈而且宝贝很正，质量也很好，这个价位太值了！质量非常好，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。,2
商城没游戏就算了，卡带还不能联网什么意思？真就吃螃蟹了呗,0
很喜欢，后悔没有早买。疫情期间陪伴了一家三口一个多月，现在又出了俩新游戏，已经立马入手，可以亲子到娃开学为止了。期待更多游戏，例如塞尔达、健身环等等早点过审，价格继续保持亲民。作为国行勇士，我很自豪，哇哈哈。。。,2
我买的真及时，疫情宅家不无聊了！简直爽翻，巴适得板！！！！！！！！！！！！！！画质清晰，游戏流畅，老少皆宜！颜色好看，配个专属包装！酷比！带动身边朋友一起买，一起愉快玩耍！耶耶耶耶耶！更多游戏赶紧出啊！,2
"流畅度：可以
运行速度：也不错
稳定性：目前都行
画面效果：棒呆了
外形外观：赞
产品包装：可以，有保障
这个是国航的我男朋友说他比较想要航班的，他还是用了几个，然后再配合游戏的时候特别好玩就各种动作，他这个真的是高科技就没看到有时间也可以这样仰望总体还是非常不错的，然后我去试玩了一把，实在是游戏黑洞真的是玩不来，绝对男孩子是十分不错的。",2
除了国行游戏没有跟上，其它都很好，200G卡的套餐也划算，先找朋友借了几个游戏玩起，等奥德赛上线,2
"流畅度：运行很流畅，试玩了一下里边的马里奥游戏，很不错的。
运行速度：运行速度很快，很流畅，玩游戏也杠杠的，不错。
稳定性：非常稳定，没有出现卡顿、闪屏的现象。
画面效果：画面真的超棒，特别喜欢！
外形外观：外观很时尚，红蓝手柄，颜值相当高，很喜欢！
产品包装：产品的包装完好无损，看着很上档次。",2
"流畅度：游戏体验感不错
画面效果：不错的画面效果
外形外观：完美的外观和手感
怀着无比忐忑的心情买了switch，收到货后无比的惊喜，从包装到外观，再到游戏体验，真的是完美，强力推荐，不错的一次购物，找回了童年游戏的感觉，还会再入手rpg的游戏。",2
还行,1
"必须要夸夸京东物流，送货速度很快，因为是从广州调货，所以是第三天拿到手的，疫情当下京东有这个速度还是很让人佩服。
国行现在只有一款游戏，自己可以买卡带来玩儿，其实我主要就是玩儿体感游戏舞力全开、zumba这些。",2
端午节急不可耐的入手了国行版，体验感很好，跟别人一起线下玩很有趣，聚会神器。,2
买来就一个手柄连不上，有问题，还得返回厂家检查，预计厂家一个月，说明坏的太多了，浪费时间，朋友买的PS4真棒，羡慕，谁买谁后悔！,0
国行游戏少，游戏买了还不支持退换货，还是多花点钱买其他版本的吧。一定看好，游戏不支持7天无理由退换货的。,0
京东体验最差的一次购物 屏幕上有气泡 明明是质量问题非说质量问题不让退不让换 还说国行都是这样 想买的请考虑清楚一下 客服自己都说不如其他版本,0
哎，说什么好呢，国服没游戏，外服不让联网付了。亏大了,0
下载速度很快一瞬间游戏库的所有游戏都下载完了。。。PS：不建议购买...,0
国行臭狗屎，我真的是**，倒了血妈霉买来一块砖，商店就一个游戏，还不能联网，只能插卡，退也不给退，**去吧国行,0
收到之后才知道，偌大个~企业，ns商店里只有一款马里奥游戏&hellip;&hellip;也不知道别的游戏卡能用不，也不敢试啊&hellip;&hellip;早知道这样买破解版了&hellip;&hellip;拆封还退不了&hellip;&hellip;日了个仙人板板&hellip;&hellip;快出游戏啊快出游戏啊快出游戏啊快出游戏啊,1
"产品包装：没有一点问题
流畅度：非常流畅
外形外观：和外版的都一样
运行速度：可以
画面效果：非常好
稳定性：很好",2
好多游戏不兼容 能玩的就4-5款游戏，未拆封的情况下 申请 售后退货 被拒绝? 懒得扯皮 直接差评,0
什么垃圾国行？到现在还是一个游戏？失望至极现在做梦都是超级马里奥我吐了,0
东西是好东西，肺炎期间取消了日本行程，买不了日版，那就买个国产玩玩吧。结果腾讯爸爸就弄一个游戏啊just dance还不能联机，希望国行赶紧推出联网功能和支持更多好游戏得下载。有个不足，左边那个手柄连接处是松的，不知是通病还是我这有毛病，懒得换了，但是心里还是不太舒服！！！！！,1
